YEAR,WEEK,WEIGHTED_ILI,UNWEIGHTED_ILI,AGE0_4,AGE25_49,AGE 5_24,AGE50_64,AGE65,ILITOTAL
2009,40,6.06923,5.66087,9302,8554,27406,2255,903,48420
2009,41,7.09467,6.81522,11527,10271,32585,2800,1013,58196
2009,42,7.7151,7.61889,13187,12399,39364,3048,1070,69068
2009,43,7.55134,7.38836,13174,12166,36860,3083,1128,66411
2009,44,6.67118,6.33927,12161,10250,30860,2672,1074,57017
2009,45,5.20633,4.94349,10151,8174,21112,2314,978,42729
2009,46,4.04477,3.80996,8979,6163,14652,1843,883,32520
2009,47,3.49722,3.44106,7716,4378,8237,1406,771,22508
2009,48,2.69023,2.66773,7195,4259,7988,1470,818,21730
2009,49,2.47119,2.47183,6490,3588,7218,1314,715,19325
2009,50,2.44773,2.345,6275,3249,5785,1113,659,17081
2009,51,2.64594,2.71435,6078,2677,4127,1049,644,14575
2009,52,2.61567,2.67667,6598,3202,3726,1284,803,15613
2010,1,1.90712,1.98284,4998,3333,3961,1244,763,14299
2010,2,1.86738,1.82749,4877,2793,4614,1182,622,14088
2010,3,1.88072,1.92606,5399,2693,5079,1008,578,14757
2010,4,1.96908,1.92495,5333,2560,5655,1046,528,15122
2010,5,2.11387,2.08877,5816,2581,6142,948,550,16037
2010,6,2.09695,2.03434,5496,2644,5577,1006,658,15381
2010,7,1.90294,1.97649,5388,2649,5536,994,498,15065
2010,8,1.96951,1.99362,5040,2943,6207,1218,679,16087
2010,9,1.92331,1.85383,4281,2763,5685,1085,672,14486
2010,10,1.89659,1.8673,4612,2660,5270,1112,700,14354
2010,11,1.75181,1.69987,4063,2468,4466,976,628,12601
2010,12,1.52632,1.49741,3625,2097,4108,827,534,11191
2010,13,1.49572,1.45112,3408,1954,3733,736,528,10359
2010,14,1.22313,1.20715,3090,1718,2933,644,428,8813
2010,15,1.17754,1.17415,3117,1572,3110,598,404,8801
2010,16,1.09112,1.16207,2921,1461,3044,522,414,8362
2010,17,1.11958,1.17213,3081,1435,2972,557,395,8440
2010,18,1.08169,1.12168,2781,1385,2901,482,365,7914
2010,19,1.12497,1.14981,2851,1363,2645,491,347,7697
2010,20,1.06197,1.13328,2816,1364,2553,498,372,7603
2010,21,1.08909,1.08171,2636,1235,2188,445,349,6853
2010,22,1.1776,1.19959,2413,1212,2172,463,335,6595
2010,23,0.97493,0.952808,2147,1081,1831,374,322,5755
2010,24,0.987132,0.916032,1975,978,1784,339,240,5316
2010,25,0.995991,0.926582,2027,882,1779,397,249,5334
2010,26,0.904726,0.86962,1754,862,1541,323,238,4718
